"AnimalID","Capture","RestSite","Telemetry","GPS","total"
"SG-001",3,12,70,0,85
"SG-001_2",8,24,60,0,92
"SG-002",1,2,17,0,20
"SG-003",9,3,36,0,48
"SG-004",1,2,18,0,21
"SG-005",2,5,51,0,58
"SG-006",14,28,124,0,166
"SG-007",1,5,24,0,30
"SG-008",11,19,109,0,139
"SG-009",15,56,148,0,219
"SG-010",12,33,55,0,100
"SG-011",18,29,65,2,114
"SG-012",1,2,10,0,13
"SG-013",9,5,28,0,42
"SG-014",2,6,23,0,31
"SG-015",19,7,44,0,70
"SG-016",4,2,6,0,12
"SG-017",1,3,27,0,31
"SG-018",1,4,26,0,31
"SG-019",5,2,7,107,121
"SG-020",5,4,31,0,40
"SG-021",8,4,10,0,22
"SG-022",2,2,13,0,17
"SG-023",1,NA,4,0,5
"SG-024",3,NA,NA,0,3
"SG-025",1,NA,4,0,5
"SG-026",3,NA,NA,0,3
"SG-027",3,NA,NA,0,3
"SG-028",2,NA,NA,0,2
"SG-029",1,NA,NA,0,1
"SG-030",3,NA,NA,0,3
"SG-031",1,NA,NA,0,1
